Test,Eppstein,LazyEppstein
dense_00,290.968,285.753
dense_01,282.496,284.044
almost_path_00,15.4206,15.2812
almost_path_01,83.5704,43.0234
almost_path_02,21.6914,10.5838
example_00,0.0108538,0.0074649
max_random_00,0.215303,0.172134
max_random_01,0.216479,0.172066
max_random_02,0.217869,0.172346
max_random_03,0.216921,0.171431
max_random_04,0.21533,0.17063
path_00,250.714,188.49
random_00,0.193417,0.145356
random_01,192.774,153.664
random_02,0.0342665,0.0281145
random_04,0.202525,0.159624
small_random_00,0.000957,0.000594
small_random_01,0.132621,0.0989673
small_random_02,0.368257,0.410025
smallest_random_00,0.263833,0.26671
smallest_random_01,0.127549,0.127863
smallest_random_02,0.267724,0.268969
sparse_00,0.213686,0.170434
sparse_01,0.212607,0.171233
