Test,Eppstein,LazyEppstein
dense_00,291.187,287.241
dense_01,283.343,286.195
almost_path_00,15.9728,15.8233
almost_path_01,83.9076,43.5635
almost_path_02,21.9315,10.742
example_00,0.0083829,0.006182
max_random_00,0.215822,0.170241
max_random_01,0.211667,0.169301
max_random_02,0.210571,0.164003
max_random_03,0.21806,0.173701
max_random_04,0.215033,0.170585
path_00,251.777,189.851
random_00,0.200217,0.143087
random_01,196.71,158.878
random_02,0.0365846,0.0281887
random_04,0.20121,0.155407
small_random_00,0.000996,0.000557
small_random_01,0.10541,0.0860123
small_random_02,0.316994,0.309081
smallest_random_00,0.233655,0.243214
smallest_random_01,0.12306,0.111768
smallest_random_02,0.228863,0.232102
sparse_00,0.210801,0.170666
sparse_01,0.211616,0.16937
