Test,Eppstein,LazyEppstein
dense_00,272.182,261.923
dense_01,262.637,266.625
almost_path_00,15.3533,15.2701
almost_path_01,83.4467,43.1127
almost_path_02,21.5773,10.6386
example_00,0.002649,0.002122
loop_00,321.564,250.656
max_random_00,0.214515,0.168206
max_random_01,0.213011,0.167472
max_random_02,0.211864,0.167824
max_random_03,0.212523,0.166941
max_random_04,0.213078,0.167965
path_00,247.746,186.397
random_00,0.183024,0.144049
random_01,174.355,136.911
random_02,0.0322049,0.0282689
random_04,0.195193,0.152208
small_random_00,0.000747,0.000565
small_random_01,0.0655288,0.0486519
small_random_02,0.235039,0.218643
smallest_random_00,0.154215,0.15668
smallest_random_01,0.0735919,0.0742978
smallest_random_02,0.158671,0.160719
sparse_00,0.210769,0.172204
sparse_01,0.212058,0.171983
