Layer,Hf,Wf,Cin,Cout,FLOPS,Time
16,3,3,512,512,1849688064,0.47267328387629437
16,3,3,512,512,1849688064,0.8480239976061519
16,3,3,512,512,1849688064,0.8432458508623775
16,3,3,512,512,1849688064,0.5545581448687251
16,3,3,512,512,1849688064,0.5996125805987056
16,3,3,512,512,1849688064,0.8539982903612788
16,3,3,512,512,1849688064,0.6735027897967036
16,3,3,512,512,1849688064,0.8238228428972905
16,3,3,512,512,1849688064,0.5417049992693599
16,3,3,512,512,1849688064,0.6771331895006831
16,3,3,512,512,1849688064,0.5324615109575923
16,3,3,512,512,1849688064,0.5348855126513179
16,3,3,512,512,1849688064,0.82090340739619
16,3,3,512,512,1849688064,0.6024049389971431
16,3,3,512,512,1849688064,0.7294577229632075
16,3,3,512,512,1849688064,0.5843165982378657
16,3,3,512,512,1849688064,0.6305752862108882
16,3,3,512,512,1849688064,0.8785456288469966
16,3,3,512,512,1849688064,0.5472284424914049
16,3,3,512,512,1849688064,0.7682679761065181
16,3,3,512,512,1849688064,0.5453563798083003
16,3,3,512,512,1849688064,0.6076077092302974
16,3,3,512,512,1849688064,0.7724970448626216
16,3,3,512,512,1849688064,0.81583772784602
16,3,3,512,512,1849688064,0.681954728425854
16,3,3,512,512,1849688064,0.581723080934399
16,3,3,512,512,1849688064,0.7102435696734126
16,3,3,512,512,1849688064,0.8073140252245601
16,3,3,512,512,1849688064,0.6639219391955073
16,3,3,512,512,1849688064,0.8089378941668199
16,3,3,512,512,1849688064,0.5599826443804439
16,3,3,512,512,1849688064,0.6203945744646724
16,3,3,512,512,1849688064,0.5794457066668199
16,3,3,512,512,1849688064,0.7828491795672115
16,3,3,512,512,1849688064,0.7551458943499272
16,3,3,512,512,1849688064,0.6191636193407701
16,3,3,512,512,1849688064,0.6925533879412349
16,3,3,512,512,1849688064,0.6896360982073482
16,3,3,512,512,1849688064,0.7444797623766606
16,3,3,512,512,1849688064,0.6100069153917964
16,3,3,512,512,1849688064,0.7789093125475581
16,3,3,512,512,1849688064,0.7844787705553706
16,3,3,512,512,1849688064,0.7921296227587407
16,3,3,512,512,1849688064,0.738968478502148
16,3,3,512,512,1849688064,0.7336321938646968
16,3,3,512,512,1849688064,0.6913889516009029
16,3,3,512,512,1849688064,0.8359516728533443
16,3,3,512,512,1849688064,0.7578884232653316
16,3,3,512,512,1849688064,0.8754616845263179
16,3,3,512,512,1849688064,0.8760741818560298
16,3,3,512,512,1849688064,0.7988117802752202
16,3,3,512,512,1849688064,0.7772992718828853
16,3,3,512,512,1849688064,0.6494265664232906
16,3,3,512,512,1849688064,0.6120988000048344
16,3,3,512,512,1849688064,0.8348637688769038
16,3,3,512,512,1849688064,0.7137337792528804
16,3,3,512,512,1849688064,0.5632933247698482
16,3,3,512,512,1849688064,0.6130798924578365
16,3,3,512,512,1849688064,0.6396528351916002
16,3,3,512,512,1849688064,0.8000074494494136
16,3,3,512,512,1849688064,0.7463155854357417
16,3,3,512,512,1849688064,0.7966681588305162
16,3,3,512,512,1849688064,0.7374302018297856
16,3,3,512,512,1849688064,0.8588851559771236
16,3,3,512,512,1849688064,0.7192336190355961
16,3,3,512,512,1849688064,0.8585001099718754
16,3,3,512,512,1849688064,0.6417595017565425
16,3,3,512,512,1849688064,0.7006748784197505
16,3,3,512,512,1849688064,0.7184129822863277
16,3,3,512,512,1849688064,0.5766130555285152
16,3,3,512,512,1849688064,0.7641986477984126
16,3,3,512,512,1849688064,0.5770183671129878
16,3,3,512,512,1849688064,0.6553989518297856
16,3,3,512,512,1849688064,0.8024636376513179
16,3,3,512,512,1849688064,0.7037390339983638
16,3,3,512,512,1849688064,0.7939702141894038
16,3,3,512,512,1849688064,0.8011969197405522
16,3,3,512,512,1849688064,0.720869170488232
16,3,3,512,512,1849688064,0.7061213124407466
16,3,3,512,512,1849688064,0.6364415753496813
16,3,3,512,512,1849688064,0.6367903817309077
16,3,3,512,512,1849688064,0.7635487187517818
16,3,3,512,512,1849688064,0.7222937214983638
16,3,3,512,512,1849688064,0.8018942940844243
16,3,3,512,512,1849688064,0.7363921273363765
16,3,3,512,512,1849688064,0.7473577130449955
16,3,3,512,512,1849688064,0.72149597293269
16,3,3,512,512,1849688064,0.7353106606615718
16,3,3,512,512,1849688064,0.7621704209459956
16,3,3,512,512,1849688064,0.6148058045519527
16,3,3,512,512,1849688064,0.7070807088030522
16,3,3,512,512,1849688064,0.7871411908281978
16,3,3,512,512,1849688064,0.6144858468187993
16,3,3,512,512,1849688064,0.7627390492571529
16,3,3,512,512,1849688064,0.7868732083452876
16,3,3,512,512,1849688064,0.7956212628496813
16,3,3,512,512,1849688064,0.7511767018450444
16,3,3,512,512,1849688064,0.7015071976793941
16,3,3,512,512,1849688064,0.7148722279680904
16,3,3,512,512,1849688064,0.7609957326067622
16,3,3,512,512,1849688064,0.8129261601580318
16,3,3,512,512,1849688064,0.8131619561327632
16,3,3,512,512,1849688064,0.7357751000536616
16,3,3,512,512,1849688064,0.7067011464251216
16,3,3,512,512,1849688064,0.6406730282915767
16,3,3,512,512,1849688064,0.6410130131853755
16,3,3,512,512,1849688064,0.7505639660967525
16,3,3,512,512,1849688064,0.7500442135943102
16,3,3,512,512,1849688064,0.6267627347124751
16,3,3,512,512,1849688064,0.626964198411815
16,3,3,512,512,1849688064,0.7605241406573002
16,3,3,512,512,1849688064,0.7595366109026607
16,3,3,512,512,1849688064,0.715826855958813
16,3,3,512,512,1849688064,0.8333793748034175
16,3,3,512,512,1849688064,0.833584891618603
16,3,3,512,512,1849688064,0.7153826821459468
16,3,3,512,512,1849688064,0.7598475087298091
16,3,3,512,512,1849688064,0.6538938153399165
16,3,3,512,512,1849688064,0.7028478253496813
16,3,3,512,512,1849688064,0.5622504819048579
16,3,3,512,512,1849688064,0.5624457467211412
16,3,3,512,512,1849688064,0.6852532494677241
16,3,3,512,512,1849688064,0.7234214413775142
16,3,3,512,512,1849688064,0.7492517102373775
16,3,3,512,512,1849688064,0.7232371438158687
16,3,3,512,512,1849688064,0.7022000420702632
16,3,3,512,512,1849688064,0.7489696610583003
16,3,3,512,512,1849688064,0.7024787533892329
16,3,3,512,512,1849688064,0.7481530774248775
16,3,3,512,512,1849688064,0.6567233670366939
16,3,3,512,512,1849688064,0.6565860379351314
16,3,3,512,512,1849688064,0.6856547463549303
16,3,3,512,512,1849688064,0.7483504880083736
16,3,3,512,512,1849688064,0.7523728478563951
16,3,3,512,512,1849688064,0.7522531617296861
16,3,3,512,512,1849688064,0.6854883301867192
16,3,3,512,512,1849688064,0.6534384358538325
16,3,3,512,512,1849688064,0.6659706700457262
16,3,3,512,512,1849688064,0.6658824551714604
16,3,3,512,512,1849688064,0.6535576451433842
16,3,3,512,512,1849688064,0.6482370961321529
16,3,3,512,512,1849688064,0.6483260262621577
16,3,3,512,512,1849688064,0.7167500126970952
16,3,3,512,512,1849688064,0.716721164049023
16,3,3,512,512,1849688064,0.775913583101147
16,3,3,512,512,1849688064,0.7759288418902104
16,3,3,512,512,1849688064,0.7949143517626451
16,3,3,512,512,1849688064,0.7949288952959703
