Layer,Hf,Wf,Cin,Cout,FLOPS,Time
9,3,3,256,256,1849688064,0.9577070253337925
9,3,3,256,256,1849688064,1.108838655277641
9,3,3,256,256,1849688064,0.8517650144542763
9,3,3,256,256,1849688064,0.9648421781505654
9,3,3,256,256,1849688064,1.0587447660411904
9,3,3,256,256,1849688064,0.9984930532421181
9,3,3,256,256,1849688064,1.0029679315532758
9,3,3,256,256,1849688064,1.126481153293998
9,3,3,256,256,1849688064,0.9626544492687295
9,3,3,256,256,1849688064,1.2345889585460728
9,3,3,256,256,1849688064,1.0221978204692914
9,3,3,256,256,1849688064,0.983258821293266
9,3,3,256,256,1849688064,1.0649498479808877
9,3,3,256,256,1849688064,1.2325807588543007
9,3,3,256,256,1849688064,1.1305223482097695
9,3,3,256,256,1849688064,1.0348115938152382
9,3,3,256,256,1849688064,1.1450866239513466
9,3,3,256,256,1849688064,1.089237071796806
9,3,3,256,256,1849688064,1.2281266229595253
9,3,3,256,256,1849688064,0.9527393358196328
9,3,3,256,256,1849688064,1.042191840931327
9,3,3,256,256,1849688064,0.9909461515392373
9,3,3,256,256,1849688064,1.0923019426311562
9,3,3,256,256,1849688064,0.847617484852226
9,3,3,256,256,1849688064,1.1038578527416298
9,3,3,256,256,1849688064,1.133089401050956
9,3,3,256,256,1849688064,1.1348551290477822
9,3,3,256,256,1849688064,1.2199970262493203
9,3,3,256,256,1849688064,1.2142408864940717
9,3,3,256,256,1849688064,1.0249579923595498
9,3,3,256,256,1849688064,0.9871219175304482
9,3,3,256,256,1849688064,0.9858592527355259
9,3,3,256,256,1849688064,1.026338674351127
9,3,3,256,256,1849688064,1.1404472368206093
9,3,3,256,256,1849688064,1.0546020048107216
9,3,3,256,256,1849688064,1.1640256422008584
9,3,3,256,256,1849688064,1.174738027378471
9,3,3,256,256,1849688064,1.1190534608806675
9,3,3,256,256,1849688064,1.076264478489311
9,3,3,256,256,1849688064,1.0323511140789101
9,3,3,256,256,1849688064,1.2025133150066445
9,3,3,256,256,1849688064,0.9486378210033486
9,3,3,256,256,1849688064,1.0504649656261518
9,3,3,256,256,1849688064,1.212364532276542
9,3,3,256,256,1849688064,1.053274013325126
9,3,3,256,256,1849688064,1.029848195835502
9,3,3,256,256,1849688064,1.116377689167411
9,3,3,256,256,1849688064,1.1696451681102822
9,3,3,256,256,1849688064,1.2109769361461709
9,3,3,256,256,1849688064,1.0515306966747358
9,3,3,256,256,1849688064,1.2036367433513715
9,3,3,256,256,1849688064,1.1668175237621377
9,3,3,256,256,1849688064,1.0309008138622358
9,3,3,256,256,1849688064,1.2175560968364785
9,3,3,256,256,1849688064,1.1677156465496132
9,3,3,256,256,1849688064,1.1826811807598179
9,3,3,256,256,1849688064,1.2182971017803261
9,3,3,256,256,1849688064,1.1018930452312534
9,3,3,256,256,1849688064,1.0852840917553017
9,3,3,256,256,1849688064,1.1010690706218784
9,3,3,256,256,1849688064,1.1596897619213173
9,3,3,256,256,1849688064,1.0716372507061078
9,3,3,256,256,1849688064,1.0443349855388715
9,3,3,256,256,1849688064,1.09499178104058
9,3,3,256,256,1849688064,1.0701209085430214
9,3,3,256,256,1849688064,1.1788640993084023
9,3,3,256,256,1849688064,1.2251363771404336
9,3,3,256,256,1849688064,1.1810542123760293
9,3,3,256,256,1849688064,1.2256501691783974
9,3,3,256,256,1849688064,1.176786042972953
9,3,3,256,256,1849688064,1.1720102804149697
9,3,3,256,256,1849688064,1.1801503675426552
9,3,3,256,256,1849688064,1.1714023130382607
