Layer,Hf,Wf,Cin,Cout,FLOPS,Time
14,3,3,512,512,1849688064,0.20616148162062142
14,3,3,512,512,1849688064,0.20815227675611947
14,3,3,512,512,1849688064,0.07203934836561654
14,3,3,512,512,1849688064,0.011446220161270837
14,3,3,512,512,1849688064,0.02106259513075326
14,3,3,512,512,1849688064,0.001428825141739587
14,3,3,512,512,1849688064,0.18341158080275033
14,3,3,512,512,1849688064,0.16914270568068002
14,3,3,512,512,1849688064,0.18028948950941537
14,3,3,512,512,1849688064,0.09747360396559213
14,3,3,512,512,1849688064,0.18195269751722698
14,3,3,512,512,1849688064,0.01411245513136361
14,3,3,512,512,1849688064,0.06265733885939095
14,3,3,512,512,1849688064,0.1663472478407142
14,3,3,512,512,1849688064,0.08965585875685189
14,3,3,512,512,1849688064,0.14982889342482064
14,3,3,512,512,1849688064,0.17712400603468392
14,3,3,512,512,1849688064,0.10993049788649056
14,3,3,512,512,1849688064,0.14716504264051888
14,3,3,512,512,1849688064,0.007744771720719079
14,3,3,512,512,1849688064,0.09174965071852181
14,3,3,512,512,1849688064,0.06410191703016732
14,3,3,512,512,1849688064,0.1592974488752601
14,3,3,512,512,1849688064,0.06976435828382943
14,3,3,512,512,1849688064,0.06898949790174935
14,3,3,512,512,1849688064,0.1760532681959388
14,3,3,512,512,1849688064,0.017323714973282556
14,3,3,512,512,1849688064,0.06626127410109017
14,3,3,512,512,1849688064,0.00681231665785198
14,3,3,512,512,1849688064,0.1347789590376136
14,3,3,512,512,1849688064,0.11111281562025521
14,3,3,512,512,1849688064,0.11938856291944955
14,3,3,512,512,1849688064,0.06542251753981088
14,3,3,512,512,1849688064,0.10697029280836556
14,3,3,512,512,1849688064,0.08742688346083138
14,3,3,512,512,1849688064,0.0038585488813636104
14,3,3,512,512,1849688064,0.17163870978529427
14,3,3,512,512,1849688064,0.09976385283644174
14,3,3,512,512,1849688064,0.11235163855726693
14,3,3,512,512,1849688064,0.08797572302992318
14,3,3,512,512,1849688064,0.05430505919630502
14,3,3,512,512,1849688064,0.054672700645279626
14,3,3,512,512,1849688064,0.17428730178053353
14,3,3,512,512,1849688064,0.14363048720533822
14,3,3,512,512,1849688064,0.123180848838639
14,3,3,512,512,1849688064,0.15799759078199838
14,3,3,512,512,1849688064,0.14580224204237435
14,3,3,512,512,1849688064,0.157315952064347
14,3,3,512,512,1849688064,0.15140650916273568
14,3,3,512,512,1849688064,0.13568423438246224
14,3,3,512,512,1849688064,0.1402537648695228
14,3,3,512,512,1849688064,0.15256665396864388
14,3,3,512,512,1849688064,0.15434954810316537
14,3,3,512,512,1849688064,0.11695931601698373
14,3,3,512,512,1849688064,0.1301710431593177
14,3,3,512,512,1849688064,0.15204117942030404
14,3,3,512,512,1849688064,0.15584753203566049
14,3,3,512,512,1849688064,0.11369202780897592
14,3,3,512,512,1849688064,0.16157863784010384
14,3,3,512,512,1849688064,0.10324881720716927
14,3,3,512,512,1849688064,0.11339615035231088
14,3,3,512,512,1849688064,0.09331153083021704
14,3,3,512,512,1849688064,0.10596440482313696
14,3,3,512,512,1849688064,0.12662170577223275
14,3,3,512,512,1849688064,0.1387586419599769
