Layer,Hf,Wf,Cin,Cout,FLOPS,Time
6,3,3,128,128,1849688064,0.7581057882890465
6,3,3,128,128,1849688064,0.7525778151139981
6,3,3,128,128,1849688064,0.7308640814409024
6,3,3,128,128,1849688064,0.7569341993913419
6,3,3,128,128,1849688064,0.7390387392625577
6,3,3,128,128,1849688064,0.7200725412950288
6,3,3,128,128,1849688064,0.7205224371537926
6,3,3,128,128,1849688064,0.7427957392320406
6,3,3,128,128,1849688064,0.7511887884721529
6,3,3,128,128,1849688064,0.7203114367112886
6,3,3,128,128,1849688064,0.7553339338884126
6,3,3,128,128,1849688064,0.7412462568864591
6,3,3,128,128,1849688064,0.7468748427018892
6,3,3,128,128,1849688064,0.7572512961015465
6,3,3,128,128,1849688064,0.7187109327897794
6,3,3,128,128,1849688064,0.746613774357773
6,3,3,128,128,1849688064,0.7482056952104341
6,3,3,128,128,1849688064,0.7293448782548673
6,3,3,128,128,1849688064,0.7175858355149991
6,3,3,128,128,1849688064,0.7374229765519864
6,3,3,128,128,1849688064,0.7562237120256192
6,3,3,128,128,1849688064,0.7230725622758634
6,3,3,128,128,1849688064,0.7196569777116544
6,3,3,128,128,1849688064,0.7131753302201993
6,3,3,128,128,1849688064,0.7255182600602872
6,3,3,128,128,1849688064,0.7255914545640714
6,3,3,128,128,1849688064,0.7574529982194669
6,3,3,128,128,1849688064,0.7314417696580655
6,3,3,128,128,1849688064,0.7514136171922452
6,3,3,128,128,1849688064,0.7459438181504972
6,3,3,128,128,1849688064,0.7420730925187833
6,3,3,128,128,1849688064,0.7577362394914395
6,3,3,128,128,1849688064,0.7431545591935875
6,3,3,128,128,1849688064,0.7375386095628511
6,3,3,128,128,1849688064,0.7193897104844815
6,3,3,128,128,1849688064,0.7419069147691495
6,3,3,128,128,1849688064,0.753035340367294
6,3,3,128,128,1849688064,0.7296357489213712
6,3,3,128,128,1849688064,0.7300138807878258
6,3,3,128,128,1849688064,0.7210510111436612
6,3,3,128,128,1849688064,0.7209775782212975
6,3,3,128,128,1849688064,0.7531221247300866
6,3,3,128,128,1849688064,0.7317693567857511
6,3,3,128,128,1849688064,0.7476616240129239
6,3,3,128,128,1849688064,0.7341888285264742
6,3,3,128,128,1849688064,0.7479153013810875
6,3,3,128,128,1849688064,0.7392909861192472
6,3,3,128,128,1849688064,0.7480318880662691
6,3,3,128,128,1849688064,0.7576268053636315
6,3,3,128,128,1849688064,0.7128188944444425
6,3,3,128,128,1849688064,0.719514164982773
6,3,3,128,128,1849688064,0.7486048079118501
6,3,3,128,128,1849688064,0.7316792345628511
6,3,3,128,128,1849688064,0.7392192221269376
6,3,3,128,128,1849688064,0.754765305577255
6,3,3,128,128,1849688064,0.7343576288804776
6,3,3,128,128,1849688064,0.7422809935197598
6,3,3,128,128,1849688064,0.7276454306230313
6,3,3,128,128,1849688064,0.7303531504258878
6,3,3,128,128,1849688064,0.7665646410569913
6,3,3,128,128,1849688064,0.7665195799455411
6,3,3,128,128,1849688064,0.7475254870042565
6,3,3,128,128,1849688064,0.7456937170610201
6,3,3,128,128,1849688064,0.7473860121354825
6,3,3,128,128,1849688064,0.7302830553636315
6,3,3,128,128,1849688064,0.7424874640092618
6,3,3,128,128,1849688064,0.7471509314164884
6,3,3,128,128,1849688064,0.7550499773607022
6,3,3,128,128,1849688064,0.7496774530992276
6,3,3,128,128,1849688064,0.7557633257493741
6,3,3,128,128,1849688064,0.7557058668718111
6,3,3,128,128,1849688064,0.7493706083879239
6,3,3,128,128,1849688064,0.749455246983505
6,3,3,128,128,1849688064,0.7217228746995694
6,3,3,128,128,1849688064,0.7457712030992276
6,3,3,128,128,1849688064,0.7134993410691979
6,3,3,128,128,1849688064,0.7497794962510831
6,3,3,128,128,1849688064,0.7433383799180753
6,3,3,128,128,1849688064,0.7472367621049649
6,3,3,128,128,1849688064,0.7520637846574552
6,3,3,128,128,1849688064,0.7342791891679532
6,3,3,128,128,1849688064,0.7180602884874112
6,3,3,128,128,1849688064,0.7522247171983492
6,3,3,128,128,1849688064,0.742403302250839
6,3,3,128,128,1849688064,0.7190177775010831
6,3,3,128,128,1849688064,0.7172749376878511
6,3,3,128,128,1849688064,0.7565548754319913
6,3,3,128,128,1849688064,0.7228980398759606
6,3,3,128,128,1849688064,0.7518322802171475
6,3,3,128,128,1849688064,0.7190730906114351
6,3,3,128,128,1849688064,0.7499177790269616
6,3,3,128,128,1849688064,0.7448466158494718
6,3,3,128,128,1849688064,0.7173259592637784
6,3,3,128,128,1849688064,0.7432802057847745
6,3,3,128,128,1849688064,0.7237894869432218
6,3,3,128,128,1849688064,0.7178702688798673
6,3,3,128,128,1849688064,0.7500353193864591
6,3,3,128,128,1849688064,0.7521531916246182
6,3,3,128,128,1849688064,0.7179320192918546
6,3,3,128,128,1849688064,0.7298429346666104
6,3,3,128,128,1849688064,0.7222035265550382
6,3,3,128,128,1849688064,0.718211445866562
6,3,3,128,128,1849688064,0.7218137121782071
6,3,3,128,128,1849688064,0.7297883368119966
6,3,3,128,128,1849688064,0.7548885679826505
6,3,3,128,128,1849688064,0.7311928606614835
6,3,3,128,128,1849688064,0.7549455500230557
6,3,3,128,128,1849688064,0.7290706968889009
6,3,3,128,128,1849688064,0.7312312460527188
6,3,3,128,128,1849688064,0.7291064596757657
6,3,3,128,128,1849688064,0.7183995581254727
6,3,3,128,128,1849688064,0.7415151930436861
6,3,3,128,128,1849688064,0.7219121790513761
6,3,3,128,128,1849688064,0.721987042485214
6,3,3,128,128,1849688064,0.7504670954332116
6,3,3,128,128,1849688064,0.7416677809343111
6,3,3,128,128,1849688064,0.7227416372880704
6,3,3,128,128,1849688064,0.7505047655687096
6,3,3,128,128,1849688064,0.7227938509568941
6,3,3,128,128,1849688064,0.7125866747483975
6,3,3,128,128,1849688064,0.7463231421098477
6,3,3,128,128,1849688064,0.7280376291856534
6,3,3,128,128,1849688064,0.7491205072984459
6,3,3,128,128,1849688064,0.7490878439531095
6,3,3,128,128,1849688064,0.7447405195817716
6,3,3,128,128,1849688064,0.7564375734910733
6,3,3,128,128,1849688064,0.7507622576341402
6,3,3,128,128,1849688064,0.7240608072862393
6,3,3,128,128,1849688064,0.7507336474046475
6,3,3,128,128,1849688064,0.7239146566972501
6,3,3,128,128,1849688064,0.7238695955857999
6,3,3,128,128,1849688064,0.7564726210222013
6,3,3,128,128,1849688064,0.7447741366014249
6,3,3,128,128,1849688064,0.7377698755845792
6,3,3,128,128,1849688064,0.7126717901811368
6,3,3,128,128,1849688064,0.7377453184709317
6,3,3,128,128,1849688064,0.7240262365922701
6,3,3,128,128,1849688064,0.7225556707963712
6,3,3,128,128,1849688064,0.7225816584214932
6,3,3,128,128,1849688064,0.7517152166948091
6,3,3,128,128,1849688064,0.7273352480516206
6,3,3,128,128,1849688064,0.7126343584642174
6,3,3,128,128,1849688064,0.7273085451707608
6,3,3,128,128,1849688064,0.728114161549545
6,3,3,128,128,1849688064,0.7488088942155611
6,3,3,128,128,1849688064,0.7133851385698091
6,3,3,128,128,1849688064,0.751651558934189
6,3,3,128,128,1849688064,0.7280910349473726
6,3,3,128,128,1849688064,0.7134039736375577
6,3,3,128,128,1849688064,0.7277968264207608
6,3,3,128,128,1849688064,0.7277787066087491
6,3,3,128,128,1849688064,0.7183122969255216
6,3,3,128,128,1849688064,0.7271862364396817
6,3,3,128,128,1849688064,0.7183342314347989
6,3,3,128,128,1849688064,0.7272041178331139
6,3,3,128,128,1849688064,0.751674923954941
6,3,3,128,128,1849688064,0.7534971571550142
6,3,3,128,128,1849688064,0.7534861899003751
6,3,3,128,128,1849688064,0.7462585306749112
6,3,3,128,128,1849688064,0.7462704516038658
6,3,3,128,128,1849688064,0.7415900564775235
6,3,3,128,128,1849688064,0.7415969706163175
6,3,3,128,128,1849688064,0.7221122122392418
6,3,3,128,128,1849688064,0.722117695866562
6,3,3,128,128,1849688064,0.7501540518388516
6,3,3,128,128,1849688064,0.7501530981645352
6,3,3,128,128,1849688064,0.7487724161729581
6,3,3,128,128,1849688064,0.7487726545915372
