Test,Eppstein,LazyEppstein
dense_00,277.674,266.283
dense_01,261.481,262.326
almost_path_00,15.5311,15.3753
almost_path_01,84.3206,43.8799
almost_path_02,22.0293,10.621
example_00,0.002596,0.002046
loop_00,323.173,251.738
max_random_00,0.215686,0.169449
max_random_01,0.216487,0.174897
max_random_02,0.210296,0.167195
max_random_03,0.211488,0.168454
max_random_04,0.208888,0.165581
path_00,249.607,187.687
random_00,0.192041,0.146899
random_01,174.491,136.476
random_02,0.0340965,0.0283565
random_04,0.195744,0.153393
small_random_00,0.000773,0.0005559
small_random_01,0.0651298,0.0485951
small_random_02,0.23576,0.217187
smallest_random_00,0.154465,0.157677
smallest_random_01,0.0731726,0.0743656
smallest_random_02,0.15941,0.161902
sparse_00,0.206137,0.165667
sparse_01,0.206639,0.164918
