Test,Eppstein,LazyEppstein
dense_00,357.546,355.781
dense_01,349.714,352.65
almost_path_00,15.5236,15.383
almost_path_01,83.4918,42.7379
almost_path_02,21.9037,11.0647
example_00,0.0066519,0.006109
max_random_00,0.213623,0.168362
max_random_01,0.211925,0.166756
max_random_02,0.21334,0.168158
max_random_03,0.210455,0.16482
max_random_04,0.214957,0.169664
path_00,251.118,188.348
random_00,0.19064,0.140338
random_01,251.544,212.905
random_02,0.0371192,0.0290344
random_04,0.197836,0.149976
small_random_00,0.001068,0.000552
small_random_01,0.142222,0.125552
small_random_02,0.389119,0.382595
smallest_random_00,0.323506,0.32567
smallest_random_01,0.147749,0.148533
smallest_random_02,0.316257,0.320819
sparse_00,0.212281,0.169994
sparse_01,0.211678,0.170227
