Test,Eppstein,LazyEppstein
dense_00,279.924,266.818
dense_01,261.993,262.284
almost_path_00,16.4056,16.1776
almost_path_01,84.8871,44.3175
almost_path_02,22.3946,11.3531
example_00,0.002636,0.0030571
loop_00,326.215,256.543
max_random_00,0.215933,0.168377
max_random_01,0.212804,0.168584
max_random_02,0.213961,0.172427
max_random_03,0.217979,0.16961
max_random_04,0.210848,0.168607
path_00,249.165,185.046
random_00,0.179594,0.141293
random_01,174.155,136.697
random_02,0.0333981,0.0273872
random_04,0.198754,0.154878
small_random_00,0.000783,0.000564
small_random_01,0.0656205,0.0491644
small_random_02,0.235184,0.216662
smallest_random_00,0.156243,0.159243
smallest_random_01,0.0735545,0.0748365
smallest_random_02,0.161355,0.161085
sparse_00,0.20832,0.166301
sparse_01,0.208325,0.16645
