Layer,Hf,Wf,Cin,Cout,FLOPS,Time
14,3,3,512,512,1849688064,0.01447317917222922
14,3,3,512,512,1849688064,0.010852793048571993
14,3,3,512,512,1849688064,0.008746126483630587
14,3,3,512,512,1849688064,0.01117728073472922
14,3,3,512,512,1849688064,0.010885456393908907
14,3,3,512,512,1849688064,0.014334657977771212
14,3,3,512,512,1849688064,0.01394532043809836
14,3,3,512,512,1849688064,0.009534815143298556
14,3,3,512,512,1849688064,0.010677793811511432
14,3,3,512,512,1849688064,0.012704351733874741
14,3,3,512,512,1849688064,0.008963564227771212
14,3,3,512,512,1849688064,0.011339405368518282
14,3,3,512,512,1849688064,0.014636734317492892
14,3,3,512,512,1849688064,0.014295557330798556
14,3,3,512,512,1849688064,0.01062343437547629
14,3,3,512,512,1849688064,0.013493994067859102
14,3,3,512,512,1849688064,0.0087938101994509
14,3,3,512,512,1849688064,0.008424976657580782
14,3,3,512,512,1849688064,0.01306031067247336
14,3,3,512,512,1849688064,0.009661653827380587
14,3,3,512,512,1849688064,0.01249120552415793
14,3,3,512,512,1849688064,0.010645845721911837
14,3,3,512,512,1849688064,0.011375883411120821
14,3,3,512,512,1849688064,0.012667158435534884
14,3,3,512,512,1849688064,0.013705232928943087
14,3,3,512,512,1849688064,0.014046886752795626
14,3,3,512,512,1849688064,0.012962797473620821
14,3,3,512,512,1849688064,0.014603117297839571
14,3,3,512,512,1849688064,0.012615898441028048
14,3,3,512,512,1849688064,0.013453462909411837
14,3,3,512,512,1849688064,0.010989168475818087
14,3,3,512,512,1849688064,0.011004188846301485
14,3,3,512,512,1849688064,0.008529403995227267
14,3,3,512,512,1849688064,0.009586075137805392
14,3,3,512,512,1849688064,0.009638288806628634
14,3,3,512,512,1849688064,0.014089086841296602
14,3,3,512,512,1849688064,0.012636640857409884
14,3,3,512,512,1849688064,0.014111975024890352
14,3,3,512,512,1849688064,0.014534691165637423
14,3,3,512,512,1849688064,0.009606817554187241
14,3,3,512,512,1849688064,0.012242534946155001
14,3,3,512,512,1849688064,0.008511284183215548
14,3,3,512,512,1849688064,0.013411024402331759
14,3,3,512,512,1849688064,0.008455494235705782
14,3,3,512,512,1849688064,0.008474806140613009
14,3,3,512,512,1849688064,0.012896517108630587
14,3,3,512,512,1849688064,0.01342652160997336
14,3,3,512,512,1849688064,0.01356146652574483
14,3,3,512,512,1849688064,0.014162758182238985
14,3,3,512,512,1849688064,0.014147976230334688
14,3,3,512,512,1849688064,0.010371425937365938
14,3,3,512,512,1849688064,0.010379770587634493
14,3,3,512,512,1849688064,0.013575056384753634
14,3,3,512,512,1849688064,0.012930134128283907
14,3,3,512,512,1849688064,0.013293484042834688
14,3,3,512,512,1849688064,0.01360724289293233
14,3,3,512,512,1849688064,0.013621071170520235
14,3,3,512,512,1849688064,0.012916067432116915
14,3,3,512,512,1849688064,0.01332876999254172
14,3,3,512,512,1849688064,0.009327390979480182
14,3,3,512,512,1849688064,0.009349802325915743
