Layer,Hf,Wf,Cin,Cout,FLOPS,Time
20,3,3,512,512,462422016,0.008146650650921988
20,3,3,512,512,462422016,0.009107000687543082
20,3,3,512,512,462422016,0.008179313996258902
20,3,3,512,512,462422016,0.00578940615934484
20,3,3,512,512,462422016,0.0037802527932559865
20,3,3,512,512,462422016,0.009395487168255973
20,3,3,512,512,462422016,0.008314020493451285
20,3,3,512,512,462422016,0.004378445008221779
20,3,3,512,512,462422016,0.00923050151151772
20,3,3,512,512,462422016,0.009144432404462
20,3,3,512,512,462422016,0.01038850055021398
20,3,3,512,512,462422016,0.003410942414227666
20,3,3,512,512,462422016,0.005860931733075309
20,3,3,512,512,462422016,0.006449348786297965
20,3,3,512,512,462422016,0.004475958207074332
20,3,3,512,512,462422016,0.007656700470868277
20,3,3,512,512,462422016,0.005902654984418082
20,3,3,512,512,462422016,0.003459579804364385
20,3,3,512,512,462422016,0.007604248383465934
20,3,3,512,512,462422016,0.007747299530926871
20,3,3,512,512,462422016,0.004991896012250113
20,3,3,512,512,462422016,0.0038760970620548146
20,3,3,512,512,462422016,0.006739981034222783
20,3,3,512,512,462422016,0.005092270234051857
20,3,3,512,512,462422016,0.007721788742963004
20,3,3,512,512,462422016,0.006370670655194463
20,3,3,512,512,462422016,0.006411201813641715
20,3,3,512,512,462422016,0.003718502381268654
20,3,3,512,512,462422016,0.00836098895353432
20,3,3,512,512,462422016,0.004519588807049904
20,3,3,512,512,462422016,0.011438734391156363
20,3,3,512,512,462422016,0.01142442927641027
20,3,3,512,512,462422016,0.008393652298871207
20,3,3,512,512,462422016,0.004552252152386804
20,3,3,512,512,462422016,0.006109602311078238
20,3,3,512,512,462422016,0.003911383011761804
20,3,3,512,512,462422016,0.006581194260541129
20,3,3,512,512,462422016,0.005531675675336065
20,3,3,512,512,462422016,0.005710251191083107
20,3,3,512,512,462422016,0.0061503718881046054
20,3,3,512,512,462422016,0.008448726990643668
20,3,3,512,512,462422016,0.006182558396283316
20,3,3,512,512,462422016,0.010733969071332145
20,3,3,512,512,462422016,0.00849807963651772
20,3,3,512,512,462422016,0.010718948700848746
20,3,3,512,512,462422016,0.006222612717572379
20,3,3,512,512,462422016,0.004872686722699332
20,3,3,512,512,462422016,0.009335882523480582
20,3,3,512,512,462422016,0.007539875367108512
20,3,3,512,512,462422016,0.00565517649931066
20,3,3,512,512,462422016,0.004949457505170035
20,3,3,512,512,462422016,0.00474727855009191
20,3,3,512,512,462422016,0.0056849788216983554
20,3,3,512,512,462422016,0.008623726227704215
20,3,3,512,512,462422016,0.006668932297650504
20,3,3,512,512,462422016,0.00847805247587316
20,3,3,512,512,462422016,0.006064541199628029
20,3,3,512,512,462422016,0.007037050583783316
20,3,3,512,512,462422016,0.003536827423993291
20,3,3,512,512,462422016,0.00476468310636631
20,3,3,512,512,462422016,0.00548423037809484
20,3,3,512,512,462422016,0.005343563416424904
20,3,3,512,512,462422016,0.005131132462445412
20,3,3,512,512,462422016,0.004903919556561637
20,3,3,512,512,462422016,0.005500919678631935
20,3,3,512,512,462422016,0.0074457000283633945
20,3,3,512,512,462422016,0.008717186310712
20,3,3,512,512,462422016,0.007515318253461051
20,3,3,512,512,462422016,0.006610519745770607
20,3,3,512,512,462422016,0.004925377228680791
20,3,3,512,512,462422016,0.0041464637307559865
20,3,3,512,512,462422016,0.00702083812040441
20,3,3,512,512,462422016,0.005176431992474709
20,3,3,512,512,462422016,0.007184870102826285
20,3,3,512,512,462422016,0.0036691497353946306
20,3,3,512,512,462422016,0.005151159623089957
20,3,3,512,512,462422016,0.00530660853666419
20,3,3,512,512,462422016,0.0041700671700870134
20,3,3,512,512,462422016,0.003680355408612404
20,3,3,512,512,462422016,0.0074702571420108554
20,3,3,512,512,462422016,0.007489092209759879
20,3,3,512,512,462422016,0.005205995896283316
20,3,3,512,512,462422016,0.008701450684491296
20,3,3,512,512,462422016,0.005320198395672965
20,3,3,512,512,462422016,0.004615194657269631
20,3,3,512,512,462422016,0.003958828309003029
20,3,3,512,512,462422016,0.0068358253030216115
20,3,3,512,512,462422016,0.006038315155926857
20,3,3,512,512,462422016,0.003995783188763785
20,3,3,512,512,462422016,0.010448582032147574
20,3,3,512,512,462422016,0.010441191056195398
20,3,3,512,512,462422016,0.007244713166180777
20,3,3,512,512,462422016,0.00397122607511631
20,3,3,512,512,462422016,0.0069357226876651384
20,3,3,512,512,462422016,0.0072366069344912964
20,3,3,512,512,462422016,0.009522564270917105
20,3,3,512,512,462422016,0.009529001572552848
20,3,3,512,512,462422016,0.005602962830487404
20,3,3,512,512,462422016,0.005610830643597783
20,3,3,512,512,462422016,0.006910688736859516
20,3,3,512,512,462422016,0.006266004898968863
20,3,3,512,512,462422016,0.0069514583138858554
20,3,3,512,512,462422016,0.006020433762494254
20,3,3,512,512,462422016,0.006297237732831182
20,3,3,512,512,462422016,0.005995876648846779
20,3,3,512,512,462422016,0.007158405640546012
20,3,3,512,512,462422016,0.004289038041058707
20,3,3,512,512,462422016,0.004308588364545035
20,3,3,512,512,462422016,0.006979353287640738
20,3,3,512,512,462422016,0.003563291886273537
20,3,3,512,512,462422016,0.007166273453656363
20,3,3,512,512,462422016,0.0035563777474796054
20,3,3,512,512,462422016,0.006969578125897588
20,3,3,512,512,462422016,0.006861812928143654
20,3,3,512,512,462422016,0.006005174973431754
20,3,3,512,512,462422016,0.004076368668500113
20,3,3,512,512,462422016,0.004019148209515738
20,3,3,512,512,462422016,0.004086143830243291
20,3,3,512,512,462422016,0.004648334839764762
20,3,3,512,512,462422016,0.00405300364774816
20,3,3,512,512,462422016,0.00429929003996006
20,3,3,512,512,462422016,0.00420034632963294
20,3,3,512,512,462422016,0.006871826508465934
20,3,3,512,512,462422016,0.004632360794964957
20,3,3,512,512,462422016,0.011177904465619254
20,3,3,512,512,462422016,0.011173851349774527
20,3,3,512,512,462422016,0.00404322848600501
20,3,3,512,512,462422016,0.008660919526044059
20,3,3,512,512,462422016,0.008660919526044059
20,3,3,512,512,462422016,0.004028446534100713
20,3,3,512,512,462422016,0.00411189303678626
20,3,3,512,512,462422016,0.00410640940946691
20,3,3,512,512,462422016,0.004640705445233512
20,3,3,512,512,462422016,0.00539792285246006
20,3,3,512,512,462422016,0.0042353938607608554
20,3,3,512,512,462422016,0.007332689621869254
20,3,3,512,512,462422016,0.006279594757977666
20,3,3,512,512,462422016,0.0062848399667179145
20,3,3,512,512,462422016,0.007336504319134879
20,3,3,512,512,462422016,0.004229671814862404
20,3,3,512,512,462422016,0.004216797211590934
20,3,3,512,512,462422016,0.008848316529217914
20,3,3,512,512,462422016,0.004210359909955191
20,3,3,512,512,462422016,0.0074049304513369996
20,3,3,512,512,462422016,0.007400877335492301
20,3,3,512,512,462422016,0.005407698014203238
20,3,3,512,512,462422016,0.008655674317303796
20,3,3,512,512,462422016,0.005403883316937613
20,3,3,512,512,462422016,0.008843071320477652
20,3,3,512,512,462422016,0.006800777771893654
20,3,3,512,512,462422016,0.006891853669110465
20,3,3,512,512,462422016,0.006889231064740334
20,3,3,512,512,462422016,0.009304411271039176
20,3,3,512,512,462422016,0.009306318619671988
20,3,3,512,512,462422016,0.006806738236371207
20,3,3,512,512,462422016,0.005231268265668082
20,3,3,512,512,462422016,0.005229599335614385
20,3,3,512,512,462422016,0.006804354050580191
20,3,3,512,512,462422016,0.007377512314740348
20,3,3,512,512,462422016,0.008835441925946402
20,3,3,512,512,462422016,0.007374174454632926
20,3,3,512,512,462422016,0.00883663401884191
20,3,3,512,512,462422016,0.00663936839384191
20,3,3,512,512,462422016,0.006638414719525504
20,3,3,512,512,462422016,0.007375604966107535
20,3,3,512,512,462422016,0.012355930664960046
20,3,3,512,512,462422016,0.01235521540922277
20,3,3,512,512,462422016,0.004811889985028406
20,3,3,512,512,462422016,0.004811174729291129
